year,month,precinct,offense_category,0
2021,April,12,DAMAGE TO PROPERTY,81
2021,April,12,DANGEROUS DRUGS,5
2021,April,12,FORGERY,3
2021,April,12,FRAUD,59
2021,April,12,HOMICIDE,3
2021,April,12,JUSTIFIABLE HOMICIDE,1
2021,April,12,KIDNAPPING,2
2021,April,12,LARCENY,65
2021,April,12,LIQUOR,2
2021,April,12,MISCELLANEOUS,3
2021,April,12,OBSTRUCTING JUDICIARY,9
2021,April,12,OBSTRUCTING THE POLICE,6
2021,April,12,OTHER,2
2021,April,12,ROBBERY,9
2021,April,12,SEX OFFENSES,46
2021,April,12,SEXUAL ASSAULT,8
2021,April,12,STOLEN PROPERTY,15
2021,April,12,STOLEN VEHICLE,66
2021,April,12,WEAPONS OFFENSES,33
2021,August,02,AGGRAVATED ASSAULT,87
2021,August,02,ARSON,8
2021,August,02,ASSAULT,134
2021,August,02,BURGLARY,39
2021,August,02,DAMAGE TO PROPERTY,82
2021,August,02,DANGEROUS DRUGS,2
2021,August,02,DISORDERLY CONDUCT,3
2021,August,02,FORGERY,1
2021,August,02,FRAUD,30
2021,August,02,HOMICIDE,3
2021,August,02,LARCENY,80
2021,August,02,LIQUOR,1
2021,August,02,OBSTRUCTING JUDICIARY,6
2021,August,02,OBSTRUCTING THE POLICE,10
2021,August,02,OTHER,2
2021,August,02,OUIL,4
2021,August,02,ROBBERY,5
2021,August,02,SEX OFFENSES,33
2021,August,02,SEXUAL ASSAULT,9
2021,August,02,STOLEN PROPERTY,14
2021,August,02,STOLEN VEHICLE,54
2021,August,02,WEAPONS OFFENSES,27
2021,August,03,AGGRAVATED ASSAULT,49
2021,August,03,ARSON,3
2021,August,03,ASSAULT,141
2021,August,03,BURGLARY,32
2021,August,03,DAMAGE TO PROPERTY,85
2021,August,03,DANGEROUS DRUGS,10
2021,August,03,DISORDERLY CONDUCT,18
2021,August,03,EXTORTION,1
2021,August,03,FAMILY OFFENSE,1
2021,August,03,FORGERY,5
2021,August,03,FRAUD,42
2021,August,03,HOMICIDE,2
2021,August,03,KIDNAPPING,2
2021,August,03,LARCENY,147
2021,August,03,MISCELLANEOUS,1
2021,August,03,OBSTRUCTING JUDICIARY,13
2021,August,03,OBSTRUCTING THE POLICE,27
2021,August,03,OTHER,6
2021,August,03,OUIL,4
2021,August,03,ROBBERY,19
2021,August,03,RUNAWAY,2
2021,August,03,SEX OFFENSES,5
